time,Var0_sys0,Var1_sys0,Var2_sys0,Var3_sys0,Var4_sys0,Var0_sys1,Var1_sys1,Var2_sys1,Var3_sys1,Var4_sys1,Var0_sys2,Var1_sys2,Var2_sys2,Var3_sys2,Var4_sys2,Var0_sys3,Var1_sys3,Var2_sys3,Var3_sys3,Var4_sys3
0.0329967,1.01636,1.01314,1.00336,0.996852,1.00988,1.01636,1.01314,1.00336,0.996852,1.00988,1.01636,1.01314,1.00336,0.996852,1.00988,1.01636,1.01314,1.00336,0.996852,1.00988
0.0334967,1.01661,1.01334,1.00342,0.996806,1.01003,1.01661,1.01334,1.00342,0.996806,1.01003,1.01661,1.01334,1.00342,0.996806,1.01003,1.01661,1.01334,1.00342,0.996806,1.01003
0.0339966,1.01685,1.01353,1.00347,0.996761,1.01018,1.01685,1.01353,1.00347,0.996761,1.01018,1.01685,1.01353,1.00347,0.996761,1.01018,1.01685,1.01353,1.00347,0.996761,1.01018
0.0344966,1.0171,1.01373,1.00352,0.996716,1.01033,1.0171,1.01373,1.00352,0.996716,1.01033,1.0171,1.01373,1.00352,0.996716,1.01033,1.0171,1.01373,1.00352,0.996716,1.01033
0.0349965,1.01735,1.01393,1.00357,0.996671,1.01048,1.01735,1.01393,1.00357,0.996671,1.01048,1.01735,1.01393,1.00357,0.996671,1.01048,1.01735,1.01393,1.00357,0.996671,1.01048
0.0354965,1.01759,1.01413,1.00363,0.996625,1.01062,1.01759,1.01413,1.00363,0.996625,1.01062,1.01759,1.01413,1.00363,0.996625,1.01062,1.01759,1.01413,1.00363,0.996625,1.01062
0.0359964,1.01784,1.01433,1.00368,0.99658,1.01077,1.01784,1.01433,1.00368,0.99658,1.01077,1.01784,1.01433,1.00368,0.99658,1.01077,1.01784,1.01433,1.00368,0.99658,1.01077
0.0364964,1.01808,1.01453,1.00373,0.996535,1.01092,1.01808,1.01453,1.00373,0.996535,1.01092,1.01808,1.01453,1.00373,0.996535,1.01092,1.01808,1.01453,1.00373,0.996535,1.01092
0.0369963,1.01833,1.01472,1.00378,0.996491,1.01107,1.01833,1.01472,1.00378,0.996491,1.01107,1.01833,1.01472,1.00378,0.996491,1.01107,1.01833,1.01472,1.00378,0.996491,1.01107
0.0374963,1.01857,1.01492,1.00383,0.996446,1.01122,1.01857,1.01492,1.00383,0.996446,1.01122,1.01857,1.01492,1.00383,0.996446,1.01122,1.01857,1.01492,1.00383,0.996446,1.01122
0.0379962,1.01882,1.01512,1.00389,0.996401,1.01137,1.01882,1.01512,1.00389,0.996401,1.01137,1.01882,1.01512,1.00389,0.996401,1.01137,1.01882,1.01512,1.00389,0.996401,1.01137
0.0384962,1.01906,1.01532,1.00394,0.996356,1.01152,1.01906,1.01532,1.00394,0.996356,1.01152,1.01906,1.01532,1.00394,0.996356,1.01152,1.01906,1.01532,1.00394,0.996356,1.01152
0.0389961,1.01931,1.01551,1.00399,0.996312,1.01167,1.01931,1.01551,1.00399,0.996312,1.01167,1.01931,1.01551,1.00399,0.996312,1.01167,1.01931,1.01551,1.00399,0.996312,1.01167
0.0394961,1.01955,1.01571,1.00404,0.996267,1.01182,1.01955,1.01571,1.00404,0.996267,1.01182,1.01955,1.01571,1.00404,0.996267,1.01182,1.01955,1.01571,1.00404,0.996267,1.01182
0.039996,1.0198,1.01591,1.0041,0.996222,1.01197,1.0198,1.01591,1.0041,0.996222,1.01197,1.0198,1.01591,1.0041,0.996222,1.01197,1.0198,1.01591,1.0041,0.996222,1.01197
0.040496,1.02004,1.01611,1.00415,0.996178,1.01212,1.02004,1.01611,1.00415,0.996178,1.01212,1.02004,1.01611,1.00415,0.996178,1.01212,1.02004,1.01611,1.00415,0.996178,1.01212
0.0409959,1.02029,1.01631,1.0042,0.996134,1.01227,1.02029,1.01631,1.0042,0.996134,1.01227,1.02029,1.01631,1.0042,0.996134,1.01227,1.02029,1.01631,1.0042,0.996134,1.01227
0.0414959,1.02053,1.0165,1.00425,0.996089,1.01242,1.02053,1.0165,1.00425,0.996089,1.01242,1.02053,1.0165,1.00425,0.996089,1.01242,1.02053,1.0165,1.00425,0.996089,1.01242
0.0419958,1.02078,1.0167,1.00431,0.996045,1.01256,1.02078,1.0167,1.00431,0.996045,1.01256,1.02078,1.0167,1.00431,0.996045,1.01256,1.02078,1.0167,1.00431,0.996045,1.01256
0.0424958,1.02102,1.0169,1.00436,0.996001,1.01271,1.02102,1.0169,1.00436,0.996001,1.01271,1.02102,1.0169,1.00436,0.996001,1.01271,1.02102,1.0169,1.00436,0.996001,1.01271
0.0429957,1.02127,1.0171,1.00441,0.995957,1.01286,1.02127,1.0171,1.00441,0.995957,1.01286,1.02127,1.0171,1.00441,0.995957,1.01286,1.02127,1.0171,1.00441,0.995957,1.01286
0.0434957,1.02151,1.01729,1.00446,0.995913,1.01301,1.02151,1.01729,1.00446,0.995913,1.01301,1.02151,1.01729,1.00446,0.995913,1.01301,1.02151,1.01729,1.00446,0.995913,1.01301
0.0439956,1.02176,1.01749,1.00452,0.995869,1.01316,1.02176,1.01749,1.00452,0.995869,1.01316,1.02176,1.01749,1.00452,0.995869,1.01316,1.02176,1.01749,1.00452,0.995869,1.01316
0.0444956,1.022,1.01769,1.00457,0.995825,1.01331,1.022,1.01769,1.00457,0.995825,1.01331,1.022,1.01769,1.00457,0.995825,1.01331,1.022,1.01769,1.00457,0.995825,1.01331
0.0449955,1.02225,1.01789,1.00462,0.995781,1.01346,1.02225,1.01789,1.00462,0.995781,1.01346,1.02225,1.01789,1.00462,0.995781,1.01346,1.02225,1.01789,1.00462,0.995781,1.01346
0.0454955,1.02249,1.01808,1.00467,0.995737,1.01361,1.02249,1.01808,1.00467,0.995737,1.01361,1.02249,1.01808,1.00467,0.995737,1.01361,1.02249,1.01808,1.00467,0.995737,1.01361
0.0459954,1.02274,1.01828,1.00473,0.995694,1.01376,1.02274,1.01828,1.00473,0.995694,1.01376,1.02274,1.01828,1.00473,0.995694,1.01376,1.02274,1.01828,1.00473,0.995694,1.01376
0.0464954,1.02298,1.01848,1.00478,0.99565,1.01391,1.02298,1.01848,1.00478,0.99565,1.01391,1.02298,1.01848,1.00478,0.99565,1.01391,1.02298,1.01848,1.00478,0.99565,1.01391
0.0469953,1.02322,1.01868,1.00483,0.995607,1.01406,1.02322,1.01868,1.00483,0.995607,1.01406,1.02322,1.01868,1.00483,0.995607,1.01406,1.02322,1.01868,1.00483,0.995607,1.01406
0.0474953,1.02347,1.01887,1.00488,0.995563,1.01421,1.02347,1.01887,1.00488,0.995563,1.01421,1.02347,1.01887,1.00488,0.995563,1.01421,1.02347,1.01887,1.00488,0.995563,1.01421
0.0479952,1.02371,1.01907,1.00494,0.99552,1.01435,1.02371,1.01907,1.00494,0.99552,1.01435,1.02371,1.01907,1.00494,0.99552,1.01435,1.02371,1.01907,1.00494,0.99552,1.01435
0.0484952,1.02396,1.01927,1.00499,0.995476,1.0145,1.02396,1.01927,1.00499,0.995476,1.0145,1.02396,1.01927,1.00499,0.995476,1.0145,1.02396,1.01927,1.00499,0.995476,1.0145
