stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420546418,420546825,2.043,0.234,0.059,-74.76578704,40.36115740740741,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546420,420546419,0.112,0.304,0.112,-74.74987745,40.361102941176455,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545988,420546418,1.846,0.21,0.046,-74.76684524,40.36303571,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545824,420546419,1.399,0.302,0.079,-74.75229167,40.36305555555556,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545604,420545988,1.5699999999999998,0.234,0.053,-74.76552083,40.364375,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545823,420545822,0.092,0.234,0.092,-74.75744048,40.36398809523809,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545605,420545824,0.8610000000000001,0.304,0.145,-74.753125,40.36541666666664,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544964,420545822,0.421,0.419,0.099,-74.75963889,40.36602777777779,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543774,420545824,0.459,0.604,0.459,-74.75185714,40.36851190476189,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545825,420545605,0.02,0.117,0.02,-74.74847222,40.36402777777777,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544739,420545604,1.222,0.443,0.112,-74.76551471,40.367132352941184,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544168,420544964,0.138,0.142,0.138,-74.75581349,40.36847222222223,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543773,420544964,0.184,0.511,0.184,-74.75720238,40.37092261904763,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544740,420544739,0.466,0.117,0.007,-74.76541667,40.36875,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
